season,fbref_name,fpl_name,fuzzy_score,total_points,review
2016-2017,Baily Cargill,Baily Cargill,100.0,1.0,
2016-2017,Bakary Sako,Bakary Sako,100.0,7.0,
2016-2017,Dele Alli,Bamidele Alli,82.0,225.0,True
2016-2017,,Bartosz Kapustka,,0.0,
2016-2017,,Bastian Schweinsteiger,,0.0,
2016-2017,Ben Davies,Ben Davies,100.0,90.0,
2016-2017,Ben Foster,Ben Foster,100.0,113.0,
2016-2017,Ben Gibson,Ben Gibson,100.0,121.0,
2016-2017,,Ben Hamer,,0.0,
2016-2017,,Ben Hinchcliffe,,0.0,
2016-2017,Ben Mee,Ben Mee,100.0,94.0,
2016-2017,Ben Watson,Ben Watson,100.0,1.0,
2016-2017,Ben Woodburn,Ben Woodburn,100.0,5.0,
2016-2017,,Ben Wynter,,0.0,
2016-2017,Benik Afobe,Benik Afobe,100.0,88.0,
2016-2017,Ben Chilwell,Benjamin Chilwell,100.0,19.0,
2016-2017,Bernardo Espinosa,Bernardo Espinosa Zúñiga,95.0,35.0,
2016-2017,,Bertrand Traore,,0.0,
2016-2017,Billy Jones,Billy Jones,100.0,56.0,
2016-2017,,Boaz Myhill,,0.0,
2016-2017,Bojan Krkić,Bojan Krkic,91.0,30.0,
2016-2017,Borja Bastón,Borja Bastón,100.0,32.0,
2016-2017,Brad Guzan,Bradley Guzan,87.0,36.0,True
2016-2017,Brad Smith,Bradley Smith,87.0,4.0,True
2016-2017,Brandon Mason,Brandon Mason,100.0,1.0,
2016-2017,Branislav Ivanović,Branislav Ivanovic,94.0,23.0,
2016-2017,Brendan Galloway,Brendan Galloway,100.0,9.0,
2016-2017,,Brian Lenihan,,0.0,
2016-2017,,Brice Dja Djédjé,,0.0,
2016-2017,Bruno Martins Indi,Bruno Martins Indi,100.0,106.0,
2016-2017,Bryan Oviedo,Bryan Oviedo,100.0,29.0,
2016-2017,,Callum McManaman,,0.0,
2016-2017,Callum Wilson,Callum Wilson,100.0,63.0,
2016-2017,Calum Chambers,Calum Chambers,100.0,83.0,
2016-2017,,Cameron Borthwick-Jackson,,0.0,
2016-2017,,Cameron Brannagan,,0.0,
2016-2017,,Cameron Carter-Vickers,,0.0,
2016-2017,Carl Jenkinson,Carl Jenkinson,100.0,2.0,
2016-2017,,Carl Stewart,,0.0,
2016-2017,,Carlos De Pena,,0.0,
2016-2017,Cesc Fàbregas,Cesc Fàbregas,100.0,121.0,
2016-2017,Charlie Adam,Charlie Adam,100.0,59.0,
2016-2017,Charlie Austin,Charlie Austin,100.0,62.0,
2016-2017,Charlie Daniels,Charlie Daniels,100.0,134.0,
2016-2017,,Charlie Rowan,,0.0,
2016-2017,Cheikhou Kouyaté,Cheikhou Kouyaté,100.0,79.0,
2016-2017,Chris Brunt,Chris Brunt,100.0,99.0,
2016-2017,,Chris Long,,0.0,
2016-2017,Chris Smalling,Chris Smalling,100.0,52.0,
2016-2017,Christian Benteke,Christian Benteke,100.0,136.0,
2016-2017,Christian Eriksen,Christian Eriksen,100.0,218.0,
2016-2017,Christian Fuchs,Christian Fuchs,100.0,104.0,
2016-2017,Christian Kabasele,Christian Kabasele,100.0,35.0,
2016-2017,,Chuba Akpom,,0.0,
2016-2017,Lee Chung-yong,Chung-yong Lee,95.0,24.0,
2016-2017,Claudio Bravo,Claudio Bravo,100.0,73.0,
2016-2017,Claudio Yacob,Claudio Yacob,100.0,54.0,
2016-2017,,Clinton N'Jie,,0.0,
2016-2017,,Connor Randall,,0.0,
2016-2017,,Connor Roberts,,0.0,
2016-2017,Connor Wickham,Connor Wickham,100.0,18.0,
2016-2017,Costel Pantilimon,Costel Pantilimon,100.0,2.0,
2016-2017,Craig Cathcart,Craig Cathcart,100.0,31.0,
2016-2017,Craig Dawson,Craig Dawson,100.0,102.0,
2016-2017,Craig Gardner,Craig Gardner,100.0,14.0,
2016-2017,Cristhian Stuani,Cristhian Stuani,100.0,54.0,
2016-2017,,Cristian Gamboa,,0.0,
2016-2017,Cuco Martina,Cuco Martina,100.0,31.0,
2016-2017,Curtis Davies,Curtis Davies,100.0,38.0,
2016-2017,Cédric Soares,Cédric Soares,100.0,102.0,
2016-2017,César Azpilicueta,César Azpilicueta,100.0,170.0,
2016-2017,,Dael Fry,,0.0,
2016-2017,Daley Blind,Daley Blind,100.0,98.0,
2016-2017,Emiliano Martínez,Damian Emiliano Martinez,78.0,8.0,True
2016-2017,Damien Delaney,Damien Delaney,100.0,51.0,
2016-2017,Dan Gosling,Dan Gosling,100.0,49.0,
2016-2017,Dan Agyei,Daniel Agyei,86.0,3.0,True
2016-2017,Daniel Amartey,Daniel Amartey,100.0,53.0,
2016-2017,Daniel Ayala,Daniel Ayala,100.0,31.0,
2016-2017,,Daniel Batty,,0.0,
2016-2017,Danny Drinkwater,Daniel Drinkwater,100.0,69.0,
2016-2017,,Daniel James,,0.0,
2016-2017,,Daniel Kemp,,0.0,
2016-2017,,Daniel Lafferty,,0.0,
2016-2017,Daniel Sturridge,Daniel Sturridge,100.0,54.0,
2016-2017,,Danny Ings,,0.0,
2016-2017,Danny Rose,Danny Rose,100.0,84.0,
2016-2017,Danny Simpson,Danny Simpson,100.0,85.0,
2016-2017,Danny Welbeck,Danny Welbeck,100.0,37.0,
2016-2017,Darren Fletcher,Darren Fletcher,100.0,103.0,
2016-2017,Darren Randolph,Darren Randolph,100.0,69.0,
2016-2017,Darron Gibson,Darron Gibson,100.0,17.0,
2016-2017,Daryl Janmaat,Daryl Janmaat,100.0,50.0,
2016-2017,David Jones,David Jones,100.0,1.0,
2016-2017,David Luiz,David Luiz Moreira Marinho,90.0,132.0,
2016-2017,David Marshall,David Marshall,100.0,32.0,
2016-2017,David Meyler,David Meyler,100.0,33.0,
2016-2017,David Nugent,David Nugent,100.0,4.0,
2016-2017,David Ospina,David Ospina,100.0,2.0,
2016-2017,David Silva,David Silva,100.0,130.0,
2016-2017,David de Gea,David de Gea,100.0,136.0,
2016-2017,,DeAndre Yedlin,,0.0,
2016-2017,Dean Marney,Dean Marney,100.0,51.0,
2016-2017,Declan Rice,Declan Rice,100.0,1.0,
2016-2017,Dejan Lovren,Dejan Lovren,100.0,106.0,
2016-2017,Demarai Gray,Demarai Gray,100.0,58.0,
2016-2017,Demetri Mitchell,Demetri Mitchell,100.0,8.0,
2016-2017,Diafra Sakho,Diafra Sakho,100.0,12.0,
2016-2017,Didier Ibrahim Ndong,Didier Ndong,86.0,67.0,True
2016-2017,Diego Costa,Diego Da Silva Costa,86.0,196.0,True
2016-2017,Dieumerci Mbokani,Dieumerci Mbokani,100.0,27.0,
2016-2017,Dimitri Payet,Dimitri Payet,100.0,81.0,
2016-2017,,Dimitrios Konstantopoulos,,0.0,
2016-2017,Dion Pereira,Dion Pereira,100.0,2.0,
2016-2017,,Dionatan do Nascimento Teixeira,,0.0,
2016-2017,Divock Origi,Divock Origi,100.0,96.0,
2016-2017,,Domingos Quina,,0.0,
2016-2017,Dominic Calvert-Lewin,Dominic Calvert-Lewin,100.0,17.0,
2016-2017,,Dominic Solanke,,0.0,
2016-2017,Donald Love,Donald Love,100.0,21.0,
2016-2017,Duncan Watmore,Duncan Watmore,100.0,43.0,
2016-2017,,Dusan Kuciak,,0.0,
2016-2017,Dušan Tadić,Dusan Tadic,82.0,108.0,True
2016-2017,Eden Hazard,Eden Hazard,100.0,224.0,
2016-2017,Edimilson Fernandes,Edimilson Fernandes,100.0,38.0,
2016-2017,,Eduardo Dos Reis Carvalho,,0.0,
2016-2017,Eldin Jakupović,Eldin Jakupovic,93.0,86.0,
2016-2017,,Eliaquim Mangala,,0.0,
2016-2017,,Elliot Embleton,,0.0,
2016-2017,,Elliott Moore,,0.0,
2016-2017,,Emerson Hyndman,,0.0,
2016-2017,Emilio Nsue,Emilio Nsue Lopez,90.0,10.0,
2016-2017,Emre Can,Emre Can,100.0,104.0,
2016-2017,Enner Valencia,Enner Valencia,100.0,54.0,
2016-2017,Eric Bailly,Eric Bailly,100.0,105.0,
2016-2017,Eric Dier,Eric Dier,100.0,93.0,
2016-2017,Érik Lamela,Erik Lamela,91.0,28.0,
2016-2017,Erik Pieters,Erik Pieters,100.0,103.0,
2016-2017,,Ethan Robson,,0.0,
2016-2017,Étienne Capoue,Etienne Capoue,93.0,131.0,
2016-2017,,Eunan O'Kane,,0.0,
2016-2017,Evandro Goebel,Evandro Goebel,100.0,18.0,
2016-2017,Zeki Fryers,Ezekiel Fryers,88.0,9.0,True
2016-2017,Fabian Delph,Fabian Delph,100.0,13.0,
2016-2017,Fabio Borini,Fabio Borini,100.0,49.0,
2016-2017,Fábio,Fabio Pereira da Silva,100.0,58.0,
2016-2017,Federico Fernández,Federico Fernández,100.0,63.0,
2016-2017,Fernandinho,Fernando Francisco Reges,76.0,18.0,True
2016-2017,Fernando,Fernando Francisco Reges,90.0,18.0,
2016-2017,Fernando Llorente,Fernando Llorente,100.0,146.0,
2016-2017,,Fernando Luiz Rosa,,78.0,
2016-2017,Filip Lesniak,Filip Lesniak,100.0,4.0,
2016-2017,,Florin Gardos,,0.0,
2016-2017,Fraizer Campbell,Fraizer Campbell,100.0,16.0,
2016-2017,Francis Coquelin,Francis Coquelin,100.0,52.0,
2016-2017,,Franck Tabanou,,0.0,
2016-2017,Fraser Forster,Fraser Forster,100.0,134.0,
2016-2017,,Fredrik Ulvestad,,0.0,
2016-2017,Gabriel Jesus,Gabriel Armando de Abreu,86.0,45.0,True
2016-2017,Gabriel Paulista,Gabriel Armando de Abreu,86.0,45.0,True
2016-2017,,Gabriel Fernando de Jesus,,67.0,
2016-2017,Gareth Barry,Gareth Barry,100.0,68.0,
2016-2017,Gareth McAuley,Gareth McAuley,100.0,131.0,
2016-2017,Gary Cahill,Gary Cahill,100.0,178.0,
2016-2017,Gastón Ramírez,Gastón Ramírez,100.0,59.0,
2016-2017,Gaël Clichy,Gaël Clichy,100.0,87.0,
2016-2017,Geoff Cameron,Geoff Cameron,100.0,58.0,
2016-2017,George Boyd,George Boyd,100.0,92.0,
2016-2017,George Friend,George Friend,100.0,59.0,
2016-2017,George Honeyman,George Honeyman,100.0,7.0,
2016-2017,Georges-Kévin N'Koudou,Georges-Kévin Nkoudou,98.0,8.0,
2016-2017,Georginio Wijnaldum,Georginio Wijnaldum,100.0,149.0,
2016-2017,Gerard Deulofeu,Gerard Deulofeu,100.0,13.0,
2016-2017,,Gerhard Tremmel,,0.0,
2016-2017,Giannelli Imbula,Giannelli Imbula,100.0,24.0,
2016-2017,,Giedrius Arlauskis,,0.0,
2016-2017,Glen Johnson,Glen Johnson,100.0,56.0,
2016-2017,Glenn Whelan,Glenn Whelan,100.0,62.0,
2016-2017,Yaya Touré,Gnegneri Yaya Touré,90.0,86.0,
2016-2017,Granit Xhaka,Granit Xhaka,100.0,85.0,
2016-2017,Grant Leadbitter,Grant Leadbitter,100.0,28.0,
2016-2017,,Greg Luer,,0.0,
2016-2017,,Greg Olley,,0.0,
2016-2017,,Guillermo Varela,,0.0,
2016-2017,Gylfi Sigurðsson,Gylfi Sigurdsson,94.0,181.0,
2016-2017,,Gökhan Inler,,0.0,
2016-2017,Gökhan Töre,Gökhan Töre,100.0,10.0,
2016-2017,Hal Robson-Kanu,Hal Robson-Kanu,100.0,52.0,
2016-2017,Harrison Reed,Harrison Reed,100.0,3.0,
2016-2017,Harry Arter,Harry Arter,100.0,84.0,
2016-2017,Harry Kane,Harry Kane,100.0,224.0,
2016-2017,,Harry Lewis,,0.0,
2016-2017,Harry Maguire,Harry Maguire,100.0,71.0,
2016-2017,,Harry Wilson,,0.0,
2016-2017,Harry Winks,Harry Winks,100.0,30.0,
2016-2017,Henrikh Mkhitaryan,Henrikh Mkhitaryan,100.0,73.0,
2016-2017,Son Heung-min,Heung-Min Son,95.0,174.0,
2016-2017,Heurelho Gomes,Heurelho Gomes,100.0,113.0,
2016-2017,,Hiram Boateng,,0.0,
2016-2017,Hugo Lloris,Hugo Lloris,100.0,143.0,
2016-2017,Håvard Nordtveit,Håvard Nordtveit,100.0,31.0,
2016-2017,Héctor Bellerín,Héctor Bellerín,100.0,119.0,
2016-2017,Ibrahim Afellay,Ibrahim Afellay,100.0,15.0,
2016-2017,Idrissa Gana Gueye,Idrissa Gueye,95.0,80.0,
2016-2017,Ikechi Anya,Ikechi Anya,100.0,1.0,
2016-2017,İlkay Gündoğan,Ilkay Gündogan,93.0,41.0,
2016-2017,Isaac Success,Isaac Success,100.0,28.0,
2016-2017,Islam Slimani,Islam Slimani,100.0,83.0,
2016-2017,Jack Butland,Jack Butland,100.0,20.0,
2016-2017,Jack Cork,Jack Cork,100.0,50.0,
2016-2017,Jack Rodwell,Jack Rodwell,100.0,38.0,
2016-2017,,Jack Rose,,0.0,
2016-2017,Jack Stephens,Jack Stephens,100.0,60.0,
2016-2017,Jack Wilshere,Jack Wilshere,100.0,61.0,
2016-2017,,Jake Hesketh,,0.0,
2016-2017,Jake Livermore,Jake Livermore,100.0,77.0,
2016-2017,,Jakob Haugaard,,0.0,
2016-2017,,James Chester,,0.0,
2016-2017,James Collins,James Collins,100.0,69.0,
2016-2017,James Husband,James Husband,100.0,0.0,
2016-2017,James McArthur,James McArthur,100.0,93.0,
2016-2017,James McCarthy,James McCarthy,100.0,23.0,
2016-2017,James McClean,James McClean,100.0,52.0,
2016-2017,James Milner,James Milner,100.0,139.0,
2016-2017,James Morrison,James Morrison,100.0,84.0,
2016-2017,James Tarkowski,James Tarkowski,100.0,23.0,
2016-2017,James Tomkins,James Tomkins,100.0,75.0,
2016-2017,Matty James,James Ward-Prowse,86.0,92.0,True
2016-2017,James Ward-Prowse,James Ward-Prowse,100.0,92.0,
2016-2017,,James Weir,,0.0,
2016-2017,,James Wilson,,0.0,
2016-2017,Jamie Vardy,Jamie Vardy,100.0,161.0,
2016-2017,Jan Kirchhoff,Jan Kirchhoff,100.0,12.0,
2016-2017,Jan Vertonghen,Jan Vertonghen,100.0,126.0,
2016-2017,Jarrod Bowen,Jarrod Bowen,100.0,8.0,
2016-2017,Jason Denayer,Jason Denayer,100.0,56.0,
2016-2017,Jason Puncheon,Jason Puncheon,100.0,92.0,
2016-2017,Javier Manquillo,Javier Manquillo,100.0,38.0,
2016-2017,Jay Fulton,Jay Fulton,100.0,19.0,
2016-2017,Jay Rodriguez,Jay Rodriguez,100.0,73.0,
2016-2017,Jeff Hendrick,Jeff Hendrick,100.0,76.0,
2016-2017,,Jeff Reine-Adelaide,,0.0,
2016-2017,Jefferson Montero,Jefferson Montero,100.0,18.0,
2016-2017,Jeffrey Schlupp,Jeffrey Schlupp,100.0,47.0,
2016-2017,Jeremain Lens,Jeremain Lens,100.0,2.0,
2016-2017,Jermain Defoe,Jermain Defoe,100.0,166.0,
2016-2017,Jerome Sinclair,Jerome Sinclair,100.0,6.0,
2016-2017,Jesse Lingard,Jesse Lingard,100.0,60.0,
2016-2017,Jesús Navas,Jesús Navas,100.0,48.0,
2016-2017,Joe Allen,Joe Allen,100.0,118.0,
2016-2017,,Joe Hart,,0.0,
2016-2017,Joe Ledley,Joe Ledley,100.0,40.0,
2016-2017,,Joe Williams,,0.0,
2016-2017,Joel Asoro,Joel Asoro,100.0,1.0,
2016-2017,,Joel Campbell,,0.0,
2016-2017,Joel Castro Pereira,Joel Dinis Castro Pereira,95.0,6.0,
2016-2017,Joël Matip,Joel Matip,90.0,97.0,
2016-2017,Joel Robles,Joel Robles,100.0,89.0,
2016-2017,,Joel Taylor,,0.0,
2016-2017,Joel Ward,Joel Ward,100.0,86.0,
2016-2017,Joey Barton,Joey Barton,100.0,37.0,
2016-2017,Jóhann Berg Guðmundsson,Johann Berg Gudmundsson,91.0,47.0,
2016-2017,John O'Shea,John O'Shea,100.0,47.0,
2016-2017,,John Obi Mikel,,0.0,
2016-2017,John Stones,John Stones,100.0,59.0,
2016-2017,John Terry,John Terry,100.0,21.0,
2016-2017,Joleon Lescott,Joleon Lescott,100.0,1.0,
2016-2017,Jon Flanagan,Jon Flanagan,100.0,9.0,
2016-2017,Jonas Olsson,Jonas Olsson,100.0,8.0,
2016-2017,Jonathan Benteke,Jonathan Benteke,100.0,1.0,
2016-2017,Jonathan Calleri,Jonathan Calleri,100.0,23.0,
2016-2017,Jonathan Leko,Jonathan Leko,100.0,12.0,
2016-2017,Jonathan Walters,Jonathan Walters,100.0,72.0,
2016-2017,,Jonathan Williams,,0.0,
2016-2017,Jonjoe Kenny,Jonjoe Kenny,100.0,1.0,
2016-2017,Jonny Evans,Jonny Evans,100.0,79.0,
2016-2017,Jordan Ayew,Jordan Ayew,100.0,39.0,
2016-2017,Jordan Henderson,Jordan Henderson,100.0,73.0,
2016-2017,Jordan Pickford,Jordan Pickford,100.0,102.0,
2016-2017,Jordan Rhodes,Jordan Rhodes,100.0,8.0,
2016-2017,Jordi Amat,Jordi Amat,100.0,21.0,
2016-2017,Jordon Ibe,Jordon Ibe,100.0,36.0,
2016-2017,Jordon Mutch,Jordon Mutch,100.0,4.0,
2016-2017,Jordy Clasie,Jordy Clasie,100.0,38.0,
2016-2017,,Jose Angel Esmoris Tasende,,0.0,
2016-2017,José Fonte,Jose Fonte,90.0,98.0,
2016-2017,,Jose Luis Mato Sanmartín,,0.0,
2016-2017,,Joseph Gomez,,0.0,
2016-2017,,Josh Clackstone,,0.0,
2016-2017,,Josh Cullen,,0.0,
2016-2017,,Josh Maja,,0.0,
2016-2017,,Josh Robson,,0.0,
2016-2017,Josh Tymon,Josh Tymon,100.0,9.0,
2016-2017,Josh Harrop,Joshua Harrop,92.0,8.0,
2016-2017,Joshua King,Joshua King,100.0,178.0,
2016-2017,Josh Onomah,Joshua Onomah,92.0,5.0,
2016-2017,Josh Sims,Joshua Sims,90.0,12.0,
2016-2017,José Holebas,José Holebas,100.0,87.0,
2016-2017,,Juan Carlos Paredes,,0.0,
2016-2017,,Juan Cuadrado,,0.0,
2016-2017,Juan Mata,Juan Mata,100.0,102.0,
2016-2017,Juan Zúñiga,Juan Zuñiga,91.0,38.0,
2016-2017,,Julian Speroni,,0.0,
2016-2017,Julien Ngoy,Julien Ngoy,100.0,5.0,
2016-2017,,Julien de Sart,,0.0,
2016-2017,Junior Stanislas,Junior Stanislas,100.0,107.0,
2016-2017,Jérémy Pied,Jérémy Pied,100.0,5.0,
2016-2017,Kamil Grosicki,Kamil Grosicki,100.0,43.0,
2016-2017,,Kane Wilson,,0.0,
2016-2017,Kasper Schmeichel,Kasper Schmeichel,100.0,109.0,
2016-2017,Kelechi Iheanacho,Kelechi Iheanacho,100.0,52.0,
2016-2017,,Keshi Anderson,,0.0,
2016-2017,Kevin De Bruyne,Kevin De Bruyne,100.0,199.0,
2016-2017,Kevin Long,Kevin Long,100.0,3.0,
2016-2017,Kevin Mirallas,Kevin Mirallas,100.0,119.0,
2016-2017,Kevin Stewart,Kevin Stewart,100.0,4.0,
2016-2017,Kevin Wimmer,Kevin Wimmer,100.0,2.0,
2016-2017,Kieran Gibbs,Kieran Gibbs,100.0,45.0,
2016-2017,,Kieran O'Hara,,0.0,
2016-2017,Kieran Trippier,Kieran Trippier,100.0,51.0,
2016-2017,Kristoffer Nordfeldt,Kristoffer Nordfeldt,100.0,3.0,
2016-2017,Kurt Zouma,Kurt Zouma,100.0,15.0,
2016-2017,Kyle Naughton,Kyle Naughton,100.0,82.0,
2016-2017,Kyle Walker,Kyle Walker,100.0,142.0,
2016-2017,Lamine Koné,Lamine Koné,100.0,69.0,
2016-2017,Laurent Koscielny,Laurent Koscielny,100.0,121.0,
2016-2017,Lazar Marković,Lazar Markovic,93.0,37.0,
2016-2017,Lee Cattermole,Lee Cattermole,100.0,12.0,
2016-2017,Lee Grant,Lee Grant,100.0,106.0,
2016-2017,Leighton Baines,Leighton Baines,100.0,135.0,
2016-2017,Lucas Leiva,Leiva Lucas,95.0,47.0,
2016-2017,Leon Britton,Leon Britton,100.0,32.0,
2016-2017,Leonardo Ulloa,Leonardo Ulloa,100.0,24.0,
2016-2017,Leroy Fer,Leroy Fer,100.0,95.0,
2016-2017,Leroy Sané,Leroy Sané,100.0,105.0,
2016-2017,Lewis Cook,Lewis Cook,100.0,17.0,
2016-2017,Lewis Grabban,Lewis Grabban,100.0,6.0,
2016-2017,,Lloyd Isgrove,,0.0,
2016-2017,Loris Karius,Loris Karius,100.0,32.0,
2016-2017,Loïc Rémy,Loïc Remy,89.0,6.0,True
2016-2017,Lucas Pérez,Lucas Pérez,100.0,20.0,
2016-2017,Luciano Narsingh,Luciano Narsingh,100.0,25.0,
2016-2017,Luis Hernández,Luis Hernández,100.0,3.0,
2016-2017,Luka Milivojević,Luka Milivojevic,94.0,42.0,
2016-2017,Lukas Jutkiewicz,Lukas Jutkiewicz,100.0,2.0,
2016-2017,Łukasz Fabiański,Lukasz Fabianski,88.0,116.0,True
2016-2017,,Luke Dreher,,0.0,
2016-2017,,Luke McGee,,0.0,
2016-2017,Luke Shaw,Luke Shaw,100.0,45.0,
2016-2017,Lynden Gooch,Lynden Gooch,100.0,12.0,
2016-2017,Lys Mousset,Lys Mousset,100.0,14.0,
2016-2017,M'Baye Niang,M'Baye Niang,100.0,49.0,
2016-2017,Maarten Stekelenburg,Maarten Stekelenburg,100.0,68.0,
2016-2017,,Maksymilian Stryjek,,0.0,
2016-2017,,Mamadou Obbi Oularé,,0.0,
2016-2017,Mamadou Sakho,Mamadou Sakho,100.0,35.0,
2016-2017,Mame Biram Diouf,Mame Biram Diouf,100.0,51.0,
2016-2017,Manolo Gabbiadini,Manolo Gabbiadini,100.0,38.0,
2016-2017,,Manuel Agudo Durán,,54.0,
2016-2017,Manuel Lanzini,Manuel Lanzini,100.0,133.0,
2016-2017,Marc Albrighton,Marc Albrighton,100.0,95.0,
2016-2017,Marc Muniesa,Marc Muniesa,100.0,34.0,
2016-2017,Marc Pugh,Marc Pugh,100.0,64.0,
2016-2017,Marc Wilson,Marc Wilson,100.0,0.0,
2016-2017,Marcin Wasilewski,Marcin Wasilewski,100.0,1.0,
2016-2017,,Marco Van Ginkel,,0.0,
2016-2017,Marcos Alonso,Marcos Alonso,100.0,177.0,
2016-2017,Marcos Rojo,Marcos Rojo,100.0,77.0,
2016-2017,,Marcus Browne,,0.0,
2016-2017,Marcus Rashford,Marcus Rashford,100.0,76.0,
2016-2017,,Mario Balotelli,,0.0,
2016-2017,,Mario Suárez,,0.0,
2016-2017,Mark Noble,Mark Noble,100.0,71.0,
2016-2017,Marko Arnautović,Marko Arnautovic,94.0,117.0,
2016-2017,Marko Grujić,Marko Grujic,92.0,4.0,
2016-2017,Markus Henriksen,Markus Henriksen,100.0,20.0,
2016-2017,Marouane Fellaini,Marouane Fellaini,100.0,48.0,
2016-2017,Marten de Roon,Marten de Roon,100.0,91.0,
2016-2017,Martin Kelly,Martin Kelly,100.0,46.0,
2016-2017,Martin Olsson,Martin Olsson,100.0,52.0,
2016-2017,Martín Cáceres,Martín Cáceres,100.0,2.0,
2016-2017,,Marvin Emnes,,0.0,
2016-2017,Mason Holgate,Mason Holgate,100.0,54.0,
2016-2017,Matěj Vydra,Matej Vydra,91.0,1.0,
2016-2017,,Mateusz Hewelt,,0.0,
